"Unidade da Federação";"2018";"2019";"2020";"2021";"2022";" Total"
"42 Santa Catarina";"92,12";"95,82";"87,55";"87,52";"94,94";"91,59"
"Total";"92,12";"95,82";"87,55";"87,52";"94,94";"91,59"
