SARAMPO e RUBÉOLA - Casos notificados no Sistema de Informação de Agravos de Notificação - Santa Catarina
casos notificados por Município de residência e Mês de início do exantema
Período:2018-2025
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
 sendo: AP (30), SP (8), PA (1), RJ (2); O genótipo identificado foi o D8; - No ano de 2022, o último caso endêmico confirmado de sarampo ocorreu em 05/06/2022, segundo data de início do exantema.
 Em 2024 foram confirmados 3 casos importados sendo: RS (1); MG (1); SP (1) e 2 casos no RJ com fonte de infecção desconhecida.
 Em 2025 foram confirmados 37, destes 11 casos foram importados sendo (2 RJ; 1 SP; 4 TO; 4 MT), 24 relacionados a importação sendo: (21 TO; 1 MA; 2 MT) e 3 casos tiveram fonte de infecção desconhecida sendo (2 RJ; 1 SP).
 Dados de 2007 a 2018 revisados e atualizados em 10/02/2023, sujeitos à revisão.
 Dados de 2019 atualizados em 13/06/2023, sujeitos à revisão.
 Dados de 2020 atualizados em 24/01/2024, sujeitos à revisão.
 Dados de 2021 atualizados em 02/01/2024, sujeitos à revisão.
 Dados de 2022 atualizados em 14/11/2025, sujeitos à revisão.
 Dados de 2023 atualizados em 05/12/2025, sujeitos à revisão.
 Dados de 2024 atualizados em 13/01/2026, sujeitos à revisão.
 Dados de 2025 atualizados em 07/01/2026, sujeitos à revisão.
 Os dados do Espírito Santo, notificados no sistema de informação e-SUS VS, foram compilados nos bancos do Sinan dos respectivos anos de notificação. Sua última atualização foi em 16/12/2025.
 * Dados disponibilizados no TABNET em janeiro de 2026.
 
